variable,position,label
year,1,YEAR OF STOP (CCYY)
pct,2,PRECINCT OF STOP (FROM 1 TO 123)
ser_num,3,UF250 SERIAL NUMBER
datestop,4,DATE OF STOP (MM-DD-YYYY)
timestop,5,TIME OF STOP (HH:MM)
recstat,6,RECORD STATUS
inout,7,WAS STOP INSIDE OR OUTSIDE ?
trhsloc,8,WAS LOCATION HOUSING OR TRANSIT AUTHORITY ?
perobs,9,PERIOD OF OBSERVATION (MMM)
crimsusp,10,CRIME SUSPECTED
perstop,11,PERIOD OF STOP (MMM)
typeofid,12,STOPPED PERSON'S IDENTIFICATION TYPE
explnstp,13,DID OFFICER EXPLAIN REASON FOR STOP ?
othpers,14,"WERE OTHER PERSONS STOPPED, QUESTIONED OR FRISKED ?"
arstmade,15,WAS AN ARREST MADE ?
arstoffn,16,OFFENSE SUSPECT ARRESTED FOR
sumissue,17,WAS A SUMMONS ISSUED ?
sumoffen,18,OFFENSE SUSPECT WAS SUMMONSED FOR
compyear,19,COMPLAINT YEAR (IF COMPLAINT REPORT PREPARED)
comppct,20,COMPLAINT PRECINCT (IF COMPLAINT REPORT PREPARED)
offunif,21,WAS OFFICER IN UNIFORM ?
officrid,22,ID CARD PROVIDED BY OFFICER (IF NOT IN UNIFORM)
frisked,23,WAS SUSPECT FRISKED ?
searched,24,WAS SUSPECT SEARCHED ?
contrabn,25,WAS CONTRABAND FOUND ON SUSPECT ?
adtlrept,26,WERE ADDITIONAL REPORTS PREPARED ?
pistol,27,WAS A PISTOL FOUND ON SUSPECT ?
riflshot,28,WAS A RIFLE FOUND ON SUSPECT ?
asltweap,29,WAS AN ASSAULT WEAPON FOUND ON SUSPECT ?
knifcuti,30,WAS A KNIFE OR CUTTING INSTRUMENT FOUND ON SUSPECT ?
machgun,31,WAS A MACHINE GUN FOUND ON SUSPECT ?
othrweap,32,WAS ANOTHER TYPE OF WEAPON FOUND ON SUSPECT
pf_hands,33,PHYSICAL FORCE USED BY OFFICER - HANDS
pf_wall,34,PHYSICAL FORCE USED BY OFFICER - SUSPECT AGAINST WALL
pf_grnd,35,PHYSICAL FORCE USED BY OFFICER - SUSPECT ON GROUND
pf_drwep,36,PHYSICAL FORCE USED BY OFFICER - WEAPON DRAWN
pf_ptwep,37,PHYSICAL FORCE USED BY OFFICER - WEAPON POINTED
pf_baton,38,PHYSICAL FORCE USED BY OFFICER - BATON
pf_hcuff,39,PHYSICAL FORCE USED BY OFFICER - HANDCUFFS
pf_pepsp,40,PHYSICAL FORCE USED BY OFFICER - PEPPER SPRAY
pf_other,41,PHYSICAL FORCE USED BY OFFICER - OTHER
radio,42,RADIO RUN
ac_rept,43,ADDITIONAL CIRCUMSTANCES - REPORT BY VICTIM/WITNESS/OFFICER
ac_inves,44,ADDITIONAL CIRCUMSTANCES - ONGOING INVESTIGATION
rf_vcrim,45,REASON FOR FRISK - VIOLENT CRIME SUSPECTED
rf_othsw,46,REASON FOR FRISK - OTHER SUSPICION OF WEAPONS
ac_proxm,47,ADDITIONAL CIRCUMSTANCES - PROXIMITY TO SCENE OF OFFENSE
rf_attir,48,REASON FOR FRISK - INAPPROPRIATE ATTIRE FOR SEASON
cs_objcs,49,REASON FOR STOP - CARRYING SUSPICIOUS OBJECT
cs_descr,50,REASON FOR STOP - FITS A RELEVANT DESCRIPTION
cs_casng,51,REASON FOR STOP - CASING A VICTIM OR LOCATION
cs_lkout,52,REASON FOR STOP - SUSPECT ACTING AS A LOOKOUT
rf_vcact,53,REASON FOR FRISK-  ACTIONS OF ENGAGING IN A VIOLENT CRIME
cs_cloth,54,REASON FOR STOP - WEARING CLOTHES COMMONLY USED IN A CRIME
cs_drgtr,55,REASON FOR STOP - ACTIONS INDICATIVE OF A DRUG TRANSACTION
ac_evasv,56,ADDITIONAL CIRCUMSTANCES - EVASIVE RESPONSE TO QUESTIONING
ac_assoc,57,ADDITIONAL CIRCUMSTANCES - ASSOCIATING WITH KNOWN CRIMINALS
